province_code,province,sleep_using_musquito_net_without_insecticide,sleep_using_long_lasting_insecticide_nets_less_than_3_years,sleep_using_long_lasting_insecticide_nets_more_than_3_years,using_repellents_prevent_mosquito_bites,using_mosquito_repellent,weighted_n
11,Aceh,38.6,1.3,1.6,10.1,52.1,17271
12,Sumatera Utara,27.6,1.2,1.5,12.3,56.7,48469
13,Sumatera Barat,12.4,0.9,0.8,6.1,59.3,18138
14,Riau,14.5,0.7,0.8,7.6,75.3,20925
15,Jambi,20.5,1.0,1.4,15.9,73.9,11588
16,Sumatera Selatan,35.9,1.3,1.5,7.4,57.2,27532
17,Bengkulu,43.5,1.1,1.9,8.6,44.3,6571
18,Lampung,45.0,1.8,2.0,8.9,36.2,29331
19,Kep. Bangka Belitung,9.9,0.8,2.4,4.5,65.1,4763
21,Kepulauan Riau,4.6,0.7,0.9,5.7,62.7,6782
31,DKI Jakarta,1.5,0.2,0.4,32.5,58.6,33552
32,Jawa Barat,3.0,0.6,0.8,27.7,57.3,156977
33,Jawa Tengah,10.1,0.4,0.5,19.9,43.7,118184
34,DI Yogyakarta,2.6,0.6,0.5,13.3,41.0,11757
35,Jawa Timur,6.8,0.3,0.6,19.2,52.6,130683
36,Banten,6.9,0.4,0.5,23.8,59.6,38751
51,Bali,0.8,0.4,0.6,12.2,50.0,13859
52,Nusa Tenggara Barat,21.0,1.1,0.9,5.4,39.6,17522
53,Nusa Tenggara Timur,32.2,28.2,23.5,5.2,21.7,17550
61,Kalimantan Barat,31.5,2.4,4.9,12.4,75.1,17713
62,Kalimantan Tengah,50.9,1.5,2.6,10.5,70.4,8737
63,Kalimantan Selatan,43.3,0.9,0.9,6.2,74.0,13299
64,Kalimantan Timur,13.7,1.8,1.4,10.5,73.5,12360
65,Kalimantan Utara,11.8,0.8,0.6,6.9,69.6,2300
71,Sulawesi Utara,5.3,1.2,2.0,7.1,67.3,8439
72,Sulawesi Tengah,33.7,2.0,4.2,5.7,53.0,9721
73,Sulawesi Selatan,44.3,1.0,1.0,4.7,48.4,29481
74,Sulawesi Tenggara,48.2,2.4,2.7,6.6,51.3,8664
75,Gorontalo,5.9,0.7,1.0,7.1,71.3,3821
76,Sulawesi Barat,64.6,0.7,1.7,5.7,43.9,4667
82,Maluku,18.9,13.0,12.2,8.0,40.3,6050
81,Maluku Utara,22.7,8.1,7.6,9.9,52.2,4213
92,Papua Barat,15.2,30.8,18.7,9.5,39.5,1795
96,Papua Barat Daya,15.9,22.1,22.7,13.7,41.0,1947
91,Papua,18.6,30.5,21.5,10.8,41.5,3299
93,Papua Selatan,14.9,38.7,24.2,7.1,43.5,1684
94,Papua Tengah,32.5,23.8,25.8,7.6,28.6,4577
95,Papua Pegunungan,24.1,28.5,13.6,13.5,11.7,4563
0,INDONESIA,16.1,2.0,2.0,16.8,53.3,877531
