province_code,province,doesnt_gain_weight,failure_to_grow,dwarfism,malnutrition_or_wasting,short_stunted,prolonged_malnutrition,under_weight,chronic_lack_of_energy,anemia,weighted_n
11,Aceh,68.8,66.0,71.5,51.3,50.9,46.4,34.0,16.4,12.9,3085
12,Sumatera Utara,63.6,58.3,55.9,59.7,55.7,51.5,38.5,16.9,13.8,6743
13,Sumatera Barat,59.8,59.0,56.0,57.3,50.3,50.6,36.4,18.2,14.8,3219
14,Riau,62.3,61.1,68.5,51.9,52.9,46.6,37.9,16.0,12.5,3031
15,Jambi,74.7,69.9,72.7,56.6,59.7,55.3,41.6,22.3,19.1,2028
16,Sumatera Selatan,62.1,56.6,55.8,54.0,45.5,47.9,31.8,14.5,9.9,3203
17,Bengkulu,65.6,69.9,62.7,55.3,45.3,52.0,36.0,19.6,14.2,1079
18,Lampung,60.0,59.3,55.2,55.1,46.2,44.1,34.2,13.1,10.7,4539
19,Kep. Bangka Belitung,64.2,67.9,70.6,59.7,54.0,52.3,41.5,18.9,14.8,981
21,Kepulauan Riau,58.9,55.9,53.2,56.8,52.7,40.0,36.7,9.9,7.3,922
31,DKI Jakarta,49.6,49.8,36.5,54.2,42.2,47.6,30.8,9.4,7.0,5758
32,Jawa Barat,41.7,52.0,33.7,46.4,36.5,42.4,25.1,9.7,6.3,25632
33,Jawa Tengah,48.2,49.1,40.1,50.4,40.3,44.6,26.5,7.3,5.1,27788
34,DI Yogyakarta,42.6,47.5,31.5,49.6,43.3,44.8,32.9,7.2,4.1,3821
35,Jawa Timur,46.6,45.6,39.8,53.8,46.4,48.9,30.9,10.9,7.3,22192
36,Banten,51.1,55.3,42.9,51.3,42.1,44.5,31.8,10.9,8.4,4880
51,Bali,59.0,61.0,54.8,54.5,54.5,50.5,38.5,19.4,16.4,2597
52,Nusa Tenggara Barat,50.1,53.9,61.5,44.6,39.5,40.4,22.9,11.0,7.2,2979
53,Nusa Tenggara Timur,57.2,50.7,58.8,49.5,41.7,47.2,29.9,15.6,12.1,4710
61,Kalimantan Barat,61.9,60.4,65.9,55.6,51.5,48.6,37.5,16.6,12.4,3053
62,Kalimantan Tengah,69.9,65.1,69.5,52.0,49.6,46.7,38.3,20.2,18.4,1336
63,Kalimantan Selatan,55.7,53.3,58.9,50.8,50.7,41.5,29.8,13.5,11.2,2436
64,Kalimantan Timur,55.5,59.4,51.3,59.7,49.9,45.8,37.3,18.6,15.1,2397
65,Kalimantan Utara,72.2,69.5,65.2,60.4,59.0,47.9,43.1,21.0,18.8,397
71,Sulawesi Utara,63.8,62.9,57.8,63.9,53.2,53.5,42.1,18.9,14.0,1513
72,Sulawesi Tengah,46.8,47.8,49.4,45.5,35.4,39.6,23.6,10.2,6.8,1951
73,Sulawesi Selatan,52.6,57.2,55.1,49.6,39.7,46.0,30.8,14.2,11.4,5064
74,Sulawesi Tenggara,65.4,63.7,59.5,52.7,40.8,44.2,36.0,17.3,12.6,1365
75,Gorontalo,50.7,56.0,65.1,50.6,53.0,52.7,38.2,16.9,12.9,571
76,Sulawesi Barat,54.9,57.7,52.6,51.2,38.0,44.9,29.0,14.5,9.7,777
82,Maluku,65.2,59.8,50.0,46.9,41.4,43.6,32.7,16.1,11.4,941
81,Maluku Utara,71.6,66.5,70.5,56.6,51.3,54.3,41.3,26.2,19.7,438
92,Papua Barat,72.4,70.9,68.1,64.4,65.3,61.1,50.3,36.0,23.2,209
96,Papua Barat Daya,63.0,54.1,53.2,44.3,38.2,50.1,33.9,16.7,9.8,281
91,Papua,69.5,72.9,65.7,63.5,58.3,60.0,52.6,34.3,30.3,407
93,Papua Selatan,60.1,70.8,71.6,44.0,50.8,50.1,39.9,26.7,19.4,114
94,Papua Tengah,82.1,80.3,53.6,59.6,76.2,81.1,74.3,69.3,66.1,418
95,Papua Pegunungan,84.6,77.1,79.2,54.6,64.8,65.6,59.1,51.4,46.6,213
0,INDONESIA,52.0,53.4,46.6,53.5,44.1,46.2,30.9,12.3,9.1,153068
