province_code,province,easy_access,comprehensive_facilities,free_service_costs,communicative_health_workers,comfortable_room,quick_precise_accurate_services,services_meet_expectation,weighted_n
11,Aceh,92.2,97.3,94.9,95.6,94.5,90.2,92.4,192
12,Sumatera Utara,88.6,90.7,72.8,83.1,83.2,82.8,84.4,681
13,Sumatera Barat,91.4,95.9,85.7,90.4,88.3,89.3,88.6,314
14,Riau,90.2,94.9,74.9,88.2,87.6,80.0,83.2,410
15,Jambi,83.0,95.8,75.0,92.6,90.5,89.7,89.0,107
16,Sumatera Selatan,91.7,98.0,81.2,94.2,95.2,93.9,94.0,446
17,Bengkulu,86.9,92.9,72.4,78.3,78.9,84.1,82.8,79
18,Lampung,81.9,96.2,74.5,87.1,89.4,86.7,87.8,331
19,Kep. Bangka Belitung,88.6,93.6,83.7,83.7,83.6,79.3,80.9,113
21,Kepulauan Riau,94.5,96.2,78.9,88.0,92.7,86.4,88.2,198
31,DKI Jakarta,89.1,96.7,80.4,90.0,90.5,87.6,86.0,1586
32,Jawa Barat,88.5,96.0,79.6,92.6,91.3,88.9,90.7,4025
33,Jawa Tengah,88.0,95.2,80.9,88.2,87.3,84.3,87.8,2724
34,DI Yogyakarta,92.8,96.9,83.2,94.7,93.5,92.4,94.0,654
35,Jawa Timur,87.7,95.4,78.3,89.4,87.2,88.3,90.5,3041
36,Banten,89.9,95.5,75.0,91.1,90.2,87.9,89.0,925
51,Bali,93.5,98.6,85.5,93.6,94.3,93.9,94.6,403
52,Nusa Tenggara Barat,89.5,93.8,80.9,86.4,89.5,82.0,89.3,250
53,Nusa Tenggara Timur,86.9,95.4,83.9,91.1,92.7,88.6,89.7,231
61,Kalimantan Barat,88.6,96.2,75.3,87.6,83.1,84.1,89.1,183
62,Kalimantan Tengah,84.5,95.4,75.2,83.7,78.1,79.7,82.7,106
63,Kalimantan Selatan,87.7,95.9,79.2,82.2,80.5,83.9,84.2,230
64,Kalimantan Timur,88.8,92.1,80.7,83.9,83.8,84.3,85.4,352
65,Kalimantan Utara,92.7,98.9,96.0,97.2,95.0,91.8,92.4,44
71,Sulawesi Utara,93.3,96.4,78.3,91.0,89.7,86.4,87.5,192
72,Sulawesi Tengah,86.7,92.7,78.5,80.6,82.3,79.3,79.0,122
73,Sulawesi Selatan,93.6,97.1,87.5,88.2,90.4,91.1,89.8,404
74,Sulawesi Tenggara,93.1,96.9,92.1,94.1,95.1,94.3,93.4,129
75,Gorontalo,97.9,97.1,89.8,86.6,88.9,83.3,89.5,34
76,Sulawesi Barat,89.0,90.3,82.2,84.7,85.9,79.9,77.8,36
82,Maluku,94.5,97.2,73.7,91.9,92.0,89.7,91.0,51
81,Maluku Utara,90.3,94.6,83.0,86.8,90.0,81.2,84.3,40
92,Papua Barat,83.0,91.7,81.9,82.6,79.9,69.0,81.6,20
96,Papua Barat Daya,88.4,96.3,74.3,88.3,89.9,81.8,88.2,24
91,Papua,96.9,94.8,77.3,83.6,83.3,89.2,87.2,77
93,Papua Selatan,91.5,93.0,85.4,85.9,84.1,77.4,89.2,24
94,Papua Tengah,86.5,75.4,83.3,75.4,78.0,73.6,78.2,103
95,Papua Pegunungan,54.7,52.1,95.7,47.0,37.3,42.1,46.3,65
0,INDONESIA,88.9,95.3,79.9,89.6,88.8,87.1,88.8,18945
