province_code,province,yes,yes_95%_CI_lower,yes_95%_CI_upper,no,no_95%_CI_lower,no_95%_CI_upper,weighted_n
11,Aceh,13.0,11.8,14.3,87.0,85.7,88.2,5756
12,Sumatera Utara,13.5,11.8,15.3,86.5,84.7,88.2,15886
13,Sumatera Barat,18.7,16.0,20.6,81.3,79.4,83.1,6043
14,Riau,12.3,10.6,14.1,87.7,85.9,89.4,7052
15,Jambi,28.1,25.9,30.3,71.9,69.7,74.1,4051
16,Sumatera Selatan,8.8,7.2,10.6,91.2,89.4,92.8,9403
17,Bengkulu,12.2,10.3,14.2,87.8,85.8,89.7,2323
18,Lampung,9.2,8.1,10.4,90.8,89.6,91.9,10424
19,Kep. Bangka Belitung,16.9,14.7,19.3,83.1,80.7,85.3,1708
21,Kepulauan Riau,6.0,4.8,7.6,94.0,92.4,95.2,2514
31,DKI Jakarta,16.6,13.5,20.2,83.4,79.8,86.5,12318
32,Jawa Barat,15.1,14.1,16.1,84.9,83.9,85.9,58514
33,Jawa Tengah,14.5,13.6,15.4,85.5,84.6,86.4,44459
34,DI Yogyakarta,56.1,52.8,59.3,43.9,40.7,47.2,4957
35,Jawa Timur,19.9,18.8,21.0,80.1,79.0,81.2,50591
36,Banten,13.6,11.4,16.2,86.4,83.8,88.6,13333
51,Bali,30.4,27.4,33.5,69.6,66.5,72.6,5149
52,Nusa Tenggara Barat,20.0,17.9,22.3,80.0,77.7,82.1,6849
53,Nusa Tenggara Timur,5.5,4.8,6.3,94.5,93.7,95.2,5335
61,Kalimantan Barat,6.4,5.2,7.9,93.6,92.1,94.8,5784
62,Kalimantan Tengah,8.5,7.2,10.1,91.5,89.9,92.8,3178
63,Kalimantan Selatan,13.0,11.4,14.7,87.0,85.3,88.6,5023
64,Kalimantan Timur,5.7,4.5,7.1,94.3,92.9,95.5,4320
65,Kalimantan Utara,16.9,12.9,21.8,83.1,78.2,87.1,729
71,Sulawesi Utara,6.0,4.9,7.3,94.0,92.7,95.1,3031
72,Sulawesi Tengah,9.0,7.8,10.4,91.0,89.6,92.2,3216
73,Sulawesi Selatan,9.6,8.2,11.1,90.4,88.9,91.8,9484
74,Sulawesi Tenggara,21.4,19.3,23.7,78.6,76.3,80.7,2733
75,Gorontalo,15.5,12.9,18.4,84.5,81.6,87.1,1260
76,Sulawesi Barat,7.6,6.1,9.5,92.4,90.5,93.9,1468
82,Maluku,9.7,8.3,11.4,90.3,88.6,91.7,1753
81,Maluku Utara,8.9,7.0,11.2,91.1,88.8,93.0,1222
92,Papua Barat,10.6,6.0,18.1,89.4,81.9,94.0,563
96,Papua Barat Daya,4.7,3.2,6.9,95.3,93.1,96.8,599
91,Papua,5.1,4.0,6.6,94.9,93.4,96.0,1030
93,Papua Selatan,5.4,3.9,7.4,94.6,92.6,96.1,546
94,Papua Tengah,6.5,4.4,9.3,93.5,90.7,95.6,1528
95,Papua Pegunungan,7.5,5.7,9.8,92.5,90.2,94.3,1516
0,INDONESIA,15.3,14.9,15.7,84.7,84.3,85.1,315646
