province_code,province,wall,plastered_woven_bamboo_wire,wood_board,bamboo_woven_bamboo,others,proper_wall,weighted_n
11,Aceh,64.5,1.7,32.5,0.7,0.6,99.4,5756
12,Sumatera Utara,75.6,2.1,20.8,0.9,0.5,99.5,15884
13,Sumatera Barat,81.5,1.9,15.3,0.3,1.1,98.9,6042
14,Riau,68.6,2.6,27.4,0.6,0.9,99.1,7051
15,Jambi,74.8,1.9,22.1,0.3,0.9,99.1,4051
16,Sumatera Selatan,73.9,1.8,23.4,0.3,0.7,99.3,9402
17,Bengkulu,79.8,3.0,15.9,0.5,0.8,99.2,2323
18,Lampung,85.2,3.0,9.5,1.4,0.8,99.2,10424
19,Kep. Bangka Belitung,87.9,2.0,9.5,0.2,0.4,99.6,1707
21,Kepulauan Riau,84.3,2.1,13.1,0.1,0.5,99.5,2514
31,DKI Jakarta,95.5,2.5,1.6,0.2,0.2,99.8,12317
32,Jawa Barat,87.4,4.0,3.5,3.6,1.5,98.5,58510
33,Jawa Tengah,82.8,2.5,13.2,0.6,0.9,99.1,44456
34,DI Yogyakarta,94.1,2.5,1.9,0.8,0.7,99.3,4957
35,Jawa Timur,90.2,2.5,6.1,0.8,0.4,99.6,50588
36,Banten,88.9,4.0,2.4,3.5,1.2,98.8,13332
51,Bali,96.4,3.0,0.3,0.1,0.2,99.8,5149
52,Nusa Tenggara Barat,85.3,2.2,7.4,2.4,2.7,97.3,6849
53,Nusa Tenggara Timur,59.5,2.6,19.5,13.5,4.8,95.2,5333
61,Kalimantan Barat,80.2,3.9,14.9,0.2,0.8,99.2,5783
62,Kalimantan Tengah,36.5,2.0,58.3,1.0,2.2,97.8,3178
63,Kalimantan Selatan,33.5,1.1,60.3,0.4,4.6,95.4,5023
64,Kalimantan Timur,50.0,1.2,46.8,0.4,1.7,98.3,4319
65,Kalimantan Utara,44.6,1.6,51.8,0.4,1.6,98.4,729
71,Sulawesi Utara,79.3,1.3,17.4,1.0,1.0,99.0,3031
72,Sulawesi Tengah,71.0,1.3,26.5,0.7,0.6,99.4,3215
73,Sulawesi Selatan,55.3,1.4,34.8,1.3,7.2,92.8,9483
74,Sulawesi Tenggara,62.1,1.6,34.5,0.5,1.3,98.7,2733
75,Gorontalo,87.6,1.4,8.6,1.2,1.2,98.8,1260
76,Sulawesi Barat,62.2,1.7,32.1,1.7,2.3,97.7,1467
82,Maluku,83.6,3.0,12.0,0.7,0.7,99.3,1751
81,Maluku Utara,86.2,1.5,11.4,0.5,0.4,99.6,1222
92,Papua Barat,75.7,1.9,21.3,0.4,0.6,99.4,563
96,Papua Barat Daya,77.0,2.5,18.6,0.6,1.4,98.6,599
91,Papua,74.0,1.7,22.2,0.7,1.3,98.7,1029
93,Papua Selatan,47.1,2.0,48.3,1.3,1.3,98.7,546
94,Papua Tengah,21.8,2.0,71.8,2.9,1.5,98.5,1528
95,Papua Pegunungan,12.4,2.5,76.8,4.2,4.2,95.8,1516
0,INDONESIA,80.5,2.7,13.9,1.6,1.3,98.7,315621
