province_code,province,regular_control,occasional_control,no_control_visit,weighted_n
11,Aceh,50.9,41.4,7.7,285
12,Sumatera Utara,54.3,33.6,12.1,684
13,Sumatera Barat,66.5,19.9,13.6,226
14,Riau,59.1,34.1,6.8,318
15,Jambi,60.0,31.3,8.7,109
16,Sumatera Selatan,65.6,24.7,9.7,333
17,Bengkulu,53.5,37.2,9.3,70
18,Lampung,58.8,29.2,12.0,349
19,Kep. Bangka Belitung,60.2,30.2,9.7,102
21,Kepulauan Riau,68.4,24.4,7.2,110
31,DKI Jakarta,64.1,23.9,11.9,1034
32,Jawa Barat,56.1,27.7,16.2,2607
33,Jawa Tengah,58.7,25.7,15.6,2146
34,DI Yogyakarta,73.5,12.1,14.4,337
35,Jawa Timur,59.4,26.1,14.6,2831
36,Banten,60.9,27.8,11.3,735
51,Bali,79.7,12.3,8.0,231
52,Nusa Tenggara Barat,62.7,24.7,12.6,232
53,Nusa Tenggara Timur,49.0,32.3,18.7,125
61,Kalimantan Barat,61.2,31.1,7.7,220
62,Kalimantan Tengah,57.9,30.2,11.9,123
63,Kalimantan Selatan,61.0,28.0,11.0,182
64,Kalimantan Timur,52.9,32.1,15.0,291
65,Kalimantan Utara,71.0,21.5,7.5,34
71,Sulawesi Utara,61.7,25.1,13.1,175
72,Sulawesi Tengah,53.2,32.4,14.4,161
73,Sulawesi Selatan,58.1,30.4,11.5,455
74,Sulawesi Tenggara,54.6,36.5,8.9,100
76,Sulawesi Barat,54.1,38.6,7.4,47
82,Maluku,52.8,29.5,17.7,39
81,Maluku Utara,60.1,23.9,16.0,36
92,Papua Barat,29.9,49.2,20.9,19
96,Papua Barat Daya,69.1,23.1,7.8,20
91,Papua,51.2,38.1,10.7,41
93,Papua Selatan,42.8,42.6,14.5,18
94,Papua Tengah,51.8,29.3,19.0,33
95,Papua Pegunungan,12.1,45.9,42.0,8
