province_code,province,hypertension_by_doctor_diagnosis,hypertension_by_doctor_diagnosis_95%_CI_lower,hypertension_by_doctor_diagnosis_95%_CI_upper,weighted_n_diagnosis,hypertension_by_measurement,hypertension_by_measurement_95%_CI_lower,hypertension_by_measurement_95%_CI_upper,weighted_n
11,Aceh,8.5,8.0,9.0,11303,22.6,21.6,23.7,10535
12,Sumatera Utara,4.7,4.4,5.1,31588,25.4,24.4,26.4,29989
13,Sumatera Barat,7.7,7.2,8.2,12188,24.1,23.2,25.0,11556
14,Riau,7.3,6.8,7.9,13666,25.6,24.4,26.9,12802
15,Jambi,5.7,5.2,6.2,7754,23.6,22.3,24.9,7352
16,Sumatera Selatan,7.8,7.2,8.3,18326,26.5,25.4,27.6,17450
17,Bengkulu,7.4,6.8,8.0,4418,24.8,23.6,26.1,4233
18,Lampung,7.9,7.4,8.5,19843,29.7,28.6,30.9,18762
19,Kep. Bangka Belitung,9.5,8.8,10.3,3243,27.3,25.9,28.6,3073
21,Kepulauan Riau,7.9,6.9,9.0,4495,26.6,24.3,29.1,4337
31,DKI Jakarta,13.4,12.6,14.3,23778,30.9,29.4,32.6,22146
32,Jawa Barat,10.7,10.2,11.1,108082,34.4,33.6,35.2,101352
33,Jawa Tengah,7.3,7.0,7.7,83791,32.9,32.3,33.6,78222
34,DI Yogyakarta,13.0,12.0,14.1,8594,31.8,30.3,33.3,8214
35,Jawa Timur,8.5,8.2,8.8,94483,34.3,33.7,35.0,89343
36,Banten,10.2,9.5,11.0,26071,28.5,27.1,29.9,24364
51,Bali,8.2,7.5,8.9,9965,22.8,21.6,24.1,9732
52,Nusa Tenggara Barat,7.3,6.5,8.1,11495,25.9,24.6,27.3,10767
53,Nusa Tenggara Timur,6.8,6.4,7.3,11051,28.2,27.3,29.0,10333
61,Kalimantan Barat,8.2,7.7,8.8,11848,30.9,29.5,32.4,11382
62,Kalimantan Tengah,8.6,7.8,9.3,5887,40.7,39.1,42.3,5477
63,Kalimantan Selatan,8.8,8.3,9.4,8847,35.8,34.7,37.0,8277
64,Kalimantan Timur,11.9,11.1,12.9,8410,30.9,29.4,32.4,8027
65,Kalimantan Utara,7.7,6.7,8.8,1546,29.8,27.6,32.1,1481
71,Sulawesi Utara,12.9,12.1,13.7,5929,29.2,27.9,30.5,5497
72,Sulawesi Tengah,9.0,8.3,9.7,6430,30.4,29.3,31.5,6022
73,Sulawesi Selatan,7.2,6.7,7.7,20103,31.3,30.4,32.2,18825
74,Sulawesi Tenggara,5.8,5.3,6.3,5535,29.3,28.1,30.6,5192
76,Sulawesi Barat,7.0,6.2,8.0,3003,28.4,26.8,30.0,2764
82,Maluku,4.7,4.2,5.2,3994,27.3,25.8,28.9,3813
81,Maluku Utara,4.8,4.3,5.4,2729,22.0,20.7,23.4,2435
92,Papua Barat,6.4,5.4,7.6,1183,27.4,24.8,30.0,1059
96,Papua Barat Daya,6.2,5.3,7.3,1309,25.6,23.5,27.8,1186
91,Papua,7.5,6.3,8.8,2006,25.8,23.7,28.1,1772
93,Papua Selatan,6.7,5.3,8.5,922,28.9,26.2,31.7,851
94,Papua Tengah,3.1,2.3,4.1,3179,21.6,18.0,25.6,2804
95,Papua Pegunungan,2.3,1.7,3.0,3375,19.9,16.7,23.5,2954
