province_code,province,visual_aids,visual_aids_95%_CI_lower,visual_aids_95%_CI_upper,weighted_n_visual_aids,hearing_aids,hearing_aids_95%_CI_lower,hearing_aids_95%_CI_upper,weighted_n_hearing_aids,walking_aids,walking_aids_95%_CI_lower,walking_aids_95%_CI_upper,weighted_n_walking_aids
11,Aceh,12.6,7.6,20.4,88,4.7,2.1,10.6,53,53.6,43.6,63.2,62
12,Sumatera Utara,7.7,5.1,11.3,231,6.1,2.2,15.3,127,56.7,44.1,68.4,133
13,Sumatera Barat,9.0,5.1,15.4,90,0.1,0.0,0.8,59,51.4,41.5,61.2,78
14,Riau,15.9,10.0,24.2,64,2.8,0.7,10.7,27,58.5,43.0,72.5,49
15,Jambi,10.3,3.8,25.0,20,0.0,0.0,0.0,17,59.4,44.0,73.2,26
16,Sumatera Selatan,6.8,3.8,11.9,95,2.1,0.5,9.5,60,50.1,34.9,65.3,56
17,Bengkulu,19.4,12.0,29.9,18,2.7,0.7,10.5,14,57.1,41.4,71.5,13
18,Lampung,8.7,3.6,19.5,156,0.3,0.0,2.5,92,58.9,45.9,70.8,98
19,Kep. Bangka Belitung,9.4,4.4,18.8,22,4.8,1.1,18.3,9,57.5,41.7,71.8,14
21,Kepulauan Riau,4.2,1.3,12.6,37,0.0,0.0,0.0,12,66.4,48.6,80.6,9
31,DKI Jakarta,32.6,18.9,50.1,167,15.3,5.7,35.2,87,46.4,31.1,62.5,146
32,Jawa Barat,12.9,9.4,17.5,1053,3.1,1.2,7.8,734,42.7,35.8,49.9,645
33,Jawa Tengah,9.4,6.3,13.8,696,2.6,1.4,4.7,497,58.4,51.7,64.8,421
34,DI Yogyakarta,16.4,8.2,30.0,70,0.8,0.1,5.6,77,61.7,45.2,75.9,58
35,Jawa Timur,9.1,6.2,13.2,648,7.8,2.8,19.9,479,53.8,47.5,60.1,532
36,Banten,15.3,8.2,26.6,197,3.8,0.8,15.1,112,49.3,32.0,66.8,113
51,Bali,14.3,6.6,28.3,48,5.3,1.2,21.3,52,68.4,49.5,82.7,36
52,Nusa Tenggara Barat,7.2,2.7,17.9,74,15.8,5.9,36.3,53,53.6,39.3,67.4,56
53,Nusa Tenggara Timur,6.2,4.2,9.1,130,0.6,0.5,0.6,75,54.4,45.5,63.0,55
61,Kalimantan Barat,9.3,4.2,19.2,76,0.0,0.0,0.0,56,53.8,41.7,65.4,59
62,Kalimantan Tengah,19.5,10.9,32.4,34,0.3,0.3,0.4,17,52.8,36.2,68.7,25
63,Kalimantan Selatan,13.5,7.5,23.1,46,3.6,0.6,18.0,36,56.9,44.0,68.9,44
64,Kalimantan Timur,13.3,7.2,23.3,67,2.2,0.3,14.5,53,39.8,23.2,59.1,36
65,Kalimantan Utara,14.2,4.2,38.2,9,0.0,0.0,0.0,4,53.5,27.7,77.5,5
71,Sulawesi Utara,20.5,12.4,31.9,50,3.3,0.8,13.2,28,56.1,42.3,69.0,24
72,Sulawesi Tengah,7.3,3.9,13.3,68,1.1,0.1,7.3,39,51.6,35.5,67.4,35
73,Sulawesi Selatan,12.7,8.6,18.5,247,3.9,1.2,11.7,152,48.1,40.1,56.3,151
74,Sulawesi Tenggara,11.1,6.2,18.9,42,0.4,0.1,2.9,25,58.9,46.6,70.1,27
75,Gorontalo,7.4,3.2,15.8,27,3.3,0.9,11.8,19,38.3,21.6,58.4,11
76,Sulawesi Barat,2.3,0.6,9.2,20,3.5,0.9,13.0,16,36.6,17.7,60.8,12
82,Maluku,9.1,4.2,18.5,25,1.3,1.0,1.7,14,42.4,27.1,59.4,17
81,Maluku Utara,27.1,14.4,45.3,19,20.9,8.0,44.5,10,47.1,28.4,66.7,13
92,Papua Barat,2.3,1.6,3.1,6,0.0,0.0,0.0,6,29.3,4.4,78.8,7
96,Papua Barat Daya,9.3,2.9,26.1,10,4.6,0.6,27.0,3,20.0,4.3,58.1,2
91,Papua,35.6,19.5,55.8,16,0.0,0.0,0.0,6,47.0,20.3,75.5,5
93,Papua Selatan,11.4,3.1,34.4,5,0.0,0.0,0.0,5,12.5,1.3,60.5,3
94,Papua Tengah,6.0,1.5,20.8,38,0.0,0.0,0.0,29,4.7,1.6,12.9,34
95,Papua Pegunungan,2.4,0.5,11.0,49,0.0,0.0,0.0,44,10.2,2.5,33.3,34
0,INDONESIA,11.7,10.3,13.2,4756,4.1,2.8,5.9,3196,50.6,48.1,53.1,3145
