province_code,province,boiled,filtered,treated_with_alum,treated_with_clorine,uv_light,treated_with_lime,weighted_n
11,Aceh,52.8,6.3,0.5,0.3,0.3,0.9,5756
12,Sumatera Utara,67.5,4.6,0.6,0.2,0.2,0.9,15886
13,Sumatera Barat,65.1,2.5,0.5,0.2,0.3,0.5,6043
14,Riau,54.6,3.3,0.8,0.2,0.2,0.8,7052
15,Jambi,71.8,8.7,0.7,0.5,0.4,1.1,4051
16,Sumatera Selatan,77.5,5.2,0.7,0.2,0.8,1.2,9403
17,Bengkulu,87.5,2.9,0.6,0.2,0.3,0.7,2323
18,Lampung,77.1,2.3,1.2,0.3,0.3,1.3,10424
19,Kep. Bangka Belitung,40.6,3.2,0.1,0.2,0.1,0.5,1708
21,Kepulauan Riau,32.2,2.9,0.2,0.1,0.4,0.3,2514
31,DKI Jakarta,28.7,1.5,0.3,0.1,0.1,0.4,12318
32,Jawa Barat,57.4,2.5,0.4,0.2,0.2,0.4,58514
33,Jawa Tengah,72.6,7.6,0.5,0.2,0.3,0.5,44459
34,DI Yogyakarta,78.1,11.2,0.3,0.1,0.1,0.4,4957
35,Jawa Timur,57.1,9.8,0.4,0.1,0.1,0.6,50591
36,Banten,49.8,2.7,0.2,0.1,0.2,0.1,13333
51,Bali,41.9,3.3,0.2,0.0,0.1,0.4,5149
52,Nusa Tenggara Barat,26.9,0.7,0.3,0.1,0.1,0.2,6849
53,Nusa Tenggara Timur,88.9,48.7,0.7,0.3,0.9,2.1,5335
61,Kalimantan Barat,71.2,7.1,0.6,0.1,0.6,0.7,5784
62,Kalimantan Tengah,41.5,6.8,3.9,0.4,0.2,1.0,3178
63,Kalimantan Selatan,59.8,3.5,2.8,0.5,0.2,1.1,5023
64,Kalimantan Timur,33.1,4.1,0.4,0.1,0.1,0.5,4320
65,Kalimantan Utara,39.6,4.1,0.2,0.1,0.3,0.8,729
71,Sulawesi Utara,53.4,2.2,0.3,0.2,0.1,0.8,3031
72,Sulawesi Tengah,57.8,8.9,0.7,0.3,0.3,1.0,3216
73,Sulawesi Selatan,58.8,6.5,0.6,0.3,0.6,0.8,9484
74,Sulawesi Tenggara,58.0,20.6,0.6,0.4,0.5,1.3,2733
75,Gorontalo,46.7,1.1,0.5,0.1,0.1,0.4,1260
76,Sulawesi Barat,63.0,2.1,0.8,0.4,0.3,0.8,1468
82,Maluku,74.9,29.4,0.6,0.3,0.4,1.5,1753
81,Maluku Utara,72.4,9.4,1.3,0.2,0.2,1.3,1222
92,Papua Barat,67.4,20.4,0.9,0.4,0.2,1.2,563
96,Papua Barat Daya,52.2,9.1,0.7,0.3,0.2,0.4,599
91,Papua,57.7,14.8,0.7,0.2,0.4,1.2,1030
93,Papua Selatan,58.8,7.7,0.3,0.3,0.3,1.1,546
94,Papua Tengah,45.9,15.7,1.1,0.6,0.7,1.6,1528
95,Papua Pegunungan,56.7,18.6,1.5,0.5,0.5,1.7,1516
0,INDONESIA,59.7,6.5,0.6,0.2,0.3,0.6,315646
